# t,ob0,ob1,ob2,ob3,ob4,ob5,ac0,ac1,ac2,ac3,p,q,r,p-sp,q-sp,r-sp,y0,y1,y2,y3,w0,w1,w2,w3,reward
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.167358939993567379e-02,-3.414109106644580560e-02,8.916442516984113276e-02,-2.747300472453938214e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.916442516984113276e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.908355748301588619e+02
2.000000000000000042e-03,2.346782457607332617e-05,-4.135959170525893569e-05,1.544334888458251953e+00,2.346782457607332617e-05,-4.135959170525893569e-05,1.544334888458251953e+00,-2.929168748997321159e-02,-1.878124039147685553e-02,1.037161061703458231e-01,5.341700893002705036e-02,-2.346782457607332617e-05,4.135959170525893569e-05,-1.544334888458251953e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.037161061703458231e-01,5.341700893002705036e-02,1.925137519836425781e+01,1.976576232910156250e+01,1.128033676147460938e+02,1.925118446350097656e+01,8.241980208200022844e+02
3.000000000000000062e-03,-4.861691850237548351e-04,-5.013737827539443970e-04,1.545379638671875000e+00,-5.096370095998281613e-04,-4.600141910486854613e-04,1.044750213623046875e-03,1.187445708165248831e-01,8.139670779427718439e-02,3.662528294548337421e-02,3.625889523560317518e-02,4.861691850237548351e-04,5.013737827539443970e-04,-1.545379638671875000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.187445708165248831e-01,8.139670779427718439e-02,3.662528294548337421e-02,3.625889523560317518e-02,3.830608749389648438e+01,3.880869674682617188e+01,2.253492279052734375e+02,1.317966918945312500e+02,7.612522007180881474e+02
4.000000000000000083e-03,-3.182748332619667053e-03,-1.746436697430908680e-03,1.545462965965270996e+00,-2.696579147595912218e-03,-1.245062914676964283e-03,8.332729339599609375e-05,6.885285060802406876e-02,6.685503628539789245e-02,1.268078092909745158e-01,1.054287706543086817e-01,3.182748332619667053e-03,1.746436697430908680e-03,-1.545462965965270996e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.885285060802406876e-02,6.685503628539789245e-02,1.268078092909745158e-01,1.054287706543086817e-01,1.508517608642578125e+02,1.513544006347656250e+02,3.378949279785156250e+02,2.443423614501953125e+02,7.898172034107683430e+02
5.000000000000000104e-03,-8.483536541461944580e-03,-3.770040581002831459e-03,1.545551538467407227e+00,-5.300788208842277527e-03,-2.023603883571922779e-03,8.857250213623046875e-05,-5.553944063870260017e-02,3.116428639884512644e-02,6.400958808306858594e-02,-2.455593652441984132e-02,8.483536541461944580e-03,3.770040581002831459e-03,-1.545551538467407227e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.116428639884512644e-02,6.400958808306858594e-02,0.000000000000000000e+00,2.633974304199218750e+02,2.639000854492187500e+02,4.504406433105468750e+02,3.568880310058593750e+02,7.745708825631323862e+02
6.000000000000000125e-03,-1.633650809526443481e-02,-6.660452112555503845e-03,4.873254776000976562e+00,-7.852971553802490234e-03,-2.890411531552672386e-03,3.327703237533569336e+00,8.518630763078703649e-02,1.617739665849956057e-02,5.080833228753251635e-02,-5.497977325611645705e-02,1.633650809526443481e-02,6.660452112555503845e-03,-4.873254776000976562e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.518630763078703649e-02,1.617739665849956057e-02,5.080833228753251635e-02,0.000000000000000000e+00,2.761430358886718750e+02,3.769997558593750000e+02,5.635416259765625000e+02,3.674294433593750000e+02,7.734535847559347985e+02
7.000000000000000146e-03,-2.594702504575252533e-02,-1.109116990119218826e-02,8.210274696350097656e+00,-9.610516950488090515e-03,-4.430717788636684418e-03,3.337019920349121094e+00,6.674669765758314832e-02,-8.575257811243655603e-02,1.316370320930627599e-02,-3.989724235098078553e-02,2.594702504575252533e-02,1.109116990119218826e-02,-8.210274696350097656e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.674669765758314832e-02,0.000000000000000000e+00,1.316370320930627599e-02,0.000000000000000000e+00,2.885867004394531250e+02,4.901009521484375000e+02,6.766441650390625000e+02,3.777207946777343750e+02,-8.130511257497602173e+01
8.000000000000000167e-03,-3.735922649502754211e-02,-1.697378046810626984e-02,8.169893264770507812e+00,-1.141220144927501678e-02,-5.882610566914081573e-03,-4.038143157958984375e-02,1.173848146766671707e-01,-1.401995504562734973e-02,-4.918760723214964103e-02,7.229350528400207976e-02,3.735922649502754211e-02,1.697378046810626984e-02,-8.169893264770507812e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.173848146766671707e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.229350528400207976e-02,4.011390991210937500e+02,4.980504760742187500e+02,7.891831054687500000e+02,3.883327636718750000e+02,-7.163293821108707959e+01
8.999999999999999320e-03,-5.245000123977661133e-02,-3.122243285179138184e-02,4.582280635833740234e+00,-1.509077474474906921e-02,-1.424865238368511200e-02,-3.587612628936767578e+00,4.841090057841410804e-02,1.722161542092373945e-02,5.493711462502707393e-02,5.067600807609495828e-02,5.245000123977661133e-02,3.122243285179138184e-02,-4.582280635833740234e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.841090057841410804e-02,1.722161542092373945e-02,5.493711462502707393e-02,5.067600807609495828e-02,5.142824096679687500e+02,5.052221374511718750e+02,7.894908447265625000e+02,5.014767456054687500e+02,8.567739040120369509e+02
1.000000000000000021e-02,-6.704368442296981812e-02,-4.541040211915969849e-02,4.582732677459716797e+00,-1.459368318319320679e-02,-1.418796926736831665e-02,4.520416259765625000e-04,9.380116999508909814e-02,2.454278164062323464e-02,9.098477416803778250e-02,8.177948697148468282e-03,6.704368442296981812e-02,4.541040211915969849e-02,-4.582732677459716797e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.380116999508909814e-02,2.454278164062323464e-02,9.098477416803778250e-02,8.177948697148468282e-03,6.268280029296875000e+02,6.177678833007812500e+02,9.020366210937500000e+02,6.140223388671875000e+02,8.346027564985064373e+02
