# t,ob0,ob1,ob2,ob3,ob4,ob5,ac0,ac1,ac2,ac3,p,q,r,p-sp,q-sp,r-sp,y0,y1,y2,y3,w0,w1,w2,w3,reward
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.222086732733434433e-02,-2.601592894181203874e-02,7.794835690201887268e-02,-2.356777992442952996e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.794835690201887268e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.020516430979811275e+02
2.000000000000000042e-03,2.838872569554951042e-05,-5.003216574550606310e-05,1.867671251296997070e+00,2.838872569554951042e-05,-5.003216574550606310e-05,1.867671251296997070e+00,-2.983896541737188213e-02,-1.065607826684308868e-02,9.250003790252356306e-02,5.732223373013690254e-02,-2.838872569554951042e-05,5.003216574550606310e-05,-1.867671251296997070e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.250003790252356306e-02,5.732223373013690254e-02,3.111630678176879883e-01,1.981959152221679688e+01,1.128573226928710938e+02,1.919727516174316406e+01,8.191895703636326971e+02
3.000000000000000062e-03,-4.966387059539556503e-04,-4.964667023159563541e-04,1.861050844192504883e+00,-5.250274316495051607e-04,-4.464345365704502910e-04,-6.620407104492187500e-03,1.159258552441677220e-01,9.913834025582501930e-02,2.079746026024165834e-02,4.369641049439225433e-02,4.966387059539556503e-04,4.964667023159563541e-04,-1.861050844192504883e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.159258552441677220e-01,9.913834025582501930e-02,2.079746026024165834e-02,4.369641049439225433e-02,1.920594406127929688e+01,3.885998153686523438e+01,2.254019012451171875e+02,1.317440643310546875e+02,7.640988299242638959e+02
4.000000000000000083e-03,-3.214966040104627609e-03,-1.743400585837662220e-03,3.410613536834716797e+00,-2.718327334150671959e-03,-1.246933883521705866e-03,1.549562692642211914e+00,6.892738025585121164e-02,7.473007347869624339e-02,1.161683086729935477e-01,1.103521977592586273e-01,3.214966040104627609e-03,1.743400585837662220e-03,-3.410613536834716797e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.892738025585121164e-02,7.473007347869624339e-02,1.161683086729935477e-01,1.103521977592586273e-01,3.800373458862304688e+01,1.516636352539062500e+02,3.382061462402343750e+02,2.440313873291015625e+02,7.764603642519545019e+02
5.000000000000000104e-03,-9.394414722919464111e-03,-2.981527941301465034e-03,3.410615205764770508e+00,-6.179448682814836502e-03,-1.238127355463802814e-03,1.668930053710937500e-06,-4.914605570523093714e-02,3.768198277946034624e-02,4.779810222033666067e-02,-1.439433402731901679e-02,9.394414722919464111e-03,2.981527941301465034e-03,-3.410615205764770508e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.768198277946034624e-02,4.779810222033666067e-02,0.000000000000000000e+00,1.505494232177734375e+02,2.642093200683593750e+02,4.507518310546875000e+02,3.565770874023437500e+02,7.696477070875031359e+02
6.000000000000000125e-03,-1.920252479612827301e-02,-4.094259347766637802e-03,5.093266010284423828e+00,-9.808110073208808899e-03,-1.112731406465172768e-03,1.682650804519653320e+00,8.986375828767791119e-02,2.001152503832133792e-02,3.613550456689042928e-02,-4.647785017185741829e-02,1.920252479612827301e-02,4.094259347766637802e-03,-5.093266010284423828e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.986375828767791119e-02,2.001152503832133792e-02,3.613550456689042928e-02,0.000000000000000000e+00,2.628147888183593750e+02,3.770351257324218750e+02,5.635783081054687500e+02,3.674001159667968750e+02,-1.041731092127839560e+02
7.000000000000000146e-03,-2.913326956331729889e-02,-8.212971501052379608e-03,6.780482769012451172e+00,-9.930744767189025879e-03,-4.118712153285741806e-03,1.687216758728027344e+00,5.509403728771011810e-02,-6.216451677973391932e-02,-2.997571700666865763e-03,-3.279149846594049678e-02,2.913326956331729889e-02,8.212971501052379608e-03,-6.780482769012451172e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.509403728771011810e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750793762207031250e+02,4.898616638183593750e+02,6.764055175781250000e+02,3.779672546386718750e+02,-5.616962319662474812e+01
8.000000000000000167e-03,-3.821446001529693604e-02,-1.618782430887222290e-02,4.931136608123779297e+00,-9.081190451979637146e-03,-7.974852807819843292e-03,-1.849346160888671875e+00,9.982993548812954532e-02,1.357607757384897418e-02,-5.907498067956785948e-02,7.570774278323913475e-02,3.821446001529693604e-02,1.618782430887222290e-02,-4.931136608123779297e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.982993548812954532e-02,1.357607757384897418e-02,0.000000000000000000e+00,7.570774278323913475e-02,4.879331359863281250e+02,4.975157165527343750e+02,6.796616821289062500e+02,3.888750610351562500e+02,8.259502893593432873e+02
8.999999999999999320e-03,-4.344130307435989380e-02,-2.736542187631130219e-02,3.121202230453491211e+00,-5.226843059062957764e-03,-1.117759756743907928e-02,-1.809934377670288086e+00,3.513178442469706148e-02,3.300394784127287651e-02,6.156782141213645171e-02,4.717869362296994717e-02,4.344130307435989380e-02,2.736542187631130219e-02,-3.121202230453491211e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.513178442469706148e-02,3.300394784127287651e-02,6.156782141213645171e-02,4.717869362296994717e-02,6.007803344726562500e+02,6.097601318359375000e+02,6.828476562500000000e+02,5.017225952148437500e+02,8.298751401986409064e+02
1.000000000000000021e-02,-4.268130287528038025e-02,-3.492369502782821655e-02,3.121545553207397461e+00,7.600001990795135498e-04,-7.558273151516914368e-03,3.433227539062500000e-04,9.560125410916379962e-02,1.489405326995674184e-02,9.745075755884587132e-02,4.033828480778850478e-03,4.268130287528038025e-02,3.492369502782821655e-02,-3.121545553207397461e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.560125410916379962e-02,1.489405326995674184e-02,9.745075755884587132e-02,4.033828480778850478e-03,7.133259277343750000e+02,7.223058471679687500e+02,7.953934326171875000e+02,6.142682495117187500e+02,8.195279816932099948e+02
