# t,ob0,ob1,ob2,ob3,ob4,ob5,ac0,ac1,ac2,ac3,p,q,r,p-sp,q-sp,r-sp,y0,y1,y2,y3,w0,w1,w2,w3,reward
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.883704011786170474e-02,-3.686856980904532066e-02,8.416256431283122841e-02,-2.792089190677511656e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.416256431283122841e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.958374356871687496e+02
2.000000000000000042e-03,2.346782457607332617e-05,-4.135959170525893569e-05,1.544334888458251953e+00,2.346782457607332617e-05,-4.135959170525893569e-05,1.544334888458251953e+00,-2.645513820789924253e-02,-2.150871913407637059e-02,9.871424531333591879e-02,5.296912174779131594e-02,-2.346782457607332617e-05,4.135959170525893569e-05,-1.544334888458251953e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.871424531333591879e-02,5.296912174779131594e-02,1.925137519836425781e+01,1.976576232910156250e+01,1.128033676147460938e+02,1.925118446350097656e+01,8.246459080022380022e+02
3.000000000000000062e-03,-4.861691850237548351e-04,-5.013737827539443970e-04,1.545379638671875000e+00,-5.096370095998281613e-04,-4.600141910486854613e-04,1.044750213623046875e-03,1.176555522332271425e-01,8.143879463395306550e-02,3.223421472534480220e-02,3.635723693901808662e-02,4.861691850237548351e-04,5.013737827539443970e-04,-1.545379638671875000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.176555522332271425e-01,8.143879463395306550e-02,3.223421472534480220e-02,3.635723693901808662e-02,3.830608749389648438e+01,3.880869674682617188e+01,2.253492279052734375e+02,1.317966918945312500e+02,7.623412193013858769e+02
4.000000000000000083e-03,-3.182748332619667053e-03,-1.746436697430908680e-03,1.545462965965270996e+00,-2.696579147595912218e-03,-1.245062914676964283e-03,8.332729339599609375e-05,7.048646490970555956e-02,6.523497607993829217e-02,1.234802011824539802e-01,1.065074239898799596e-01,3.182748332619667053e-03,1.746436697430908680e-03,-1.545462965965270996e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.048646490970555956e-02,6.523497607993829217e-02,1.234802011824539802e-01,1.065074239898799596e-01,1.508517608642578125e+02,1.513544006347656250e+02,3.378949279785156250e+02,2.443423614501953125e+02,7.887537432991503010e+02
5.000000000000000104e-03,-8.483536541461944580e-03,-3.770040581002831459e-03,1.545551538467407227e+00,-5.300788208842277527e-03,-2.023603883571922779e-03,8.857250213623046875e-05,-5.390606475560021094e-02,2.952733423705615826e-02,6.068999083880588508e-02,-2.346110052779204480e-02,8.483536541461944580e-03,3.770040581002831459e-03,-1.545551538467407227e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.952733423705615826e-02,6.068999083880588508e-02,0.000000000000000000e+00,2.633974304199218750e+02,2.639000854492187500e+02,4.504406433105468750e+02,3.568880310058593750e+02,7.734922292275610971e+02
6.000000000000000125e-03,-1.633650809526443481e-02,-6.660452112555503845e-03,4.873254776000976562e+00,-7.852971553802490234e-03,-2.890411531552672386e-03,3.327703237533569336e+00,8.681908150697721649e-02,1.452324259622843686e-02,4.749438556359451141e-02,-5.386682936840590796e-02,1.633650809526443481e-02,6.660452112555503845e-03,-4.873254776000976562e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.681908150697721649e-02,1.452324259622843686e-02,4.749438556359451141e-02,0.000000000000000000e+00,2.761430358886718750e+02,3.769997558593750000e+02,5.635416259765625000e+02,3.674294433593750000e+02,7.718208108797446130e+02
7.000000000000000146e-03,-2.596763707697391510e-02,-1.104551274329423904e-02,6.560553550720214844e+00,-9.631128981709480286e-03,-4.385060630738735199e-03,1.687298774719238281e+00,5.934865259456434394e-02,-8.217818293268802643e-02,1.117668104782250024e-02,-3.755128697912411828e-02,2.596763707697391510e-02,1.104551274329423904e-02,-6.560553550720214844e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.934865259456434394e-02,0.000000000000000000e+00,1.117668104782250024e-02,0.000000000000000000e+00,3.884076538085937500e+02,4.898263244628906250e+02,6.763688354492187500e+02,3.779958801269531250e+02,-5.561044037423134512e+01
8.000000000000000167e-03,-3.458683937788009644e-02,-1.943617686629295349e-02,6.338705062866210938e+00,-8.619202300906181335e-03,-8.390664122998714447e-03,-2.218484878540039062e-01,9.938065951767055539e-02,-2.236194259570847831e-03,-4.787112540346008527e-02,7.247337422054075939e-02,3.458683937788009644e-02,1.943617686629295349e-02,-6.338705062866210938e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.938065951767055539e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.247337422054075939e-02,5.009902954101562500e+02,4.977521057128906250e+02,7.779285278320312500e+02,3.886316223144531250e+02,-6.961247089558108314e+01
8.999999999999999320e-03,-4.523077234625816345e-02,-3.639762848615646362e-02,2.755671739578247070e+00,-1.064393296837806702e-02,-1.696145161986351013e-02,-3.583033323287963867e+00,3.951902602664101455e-02,2.393638263855983953e-02,6.157779326920736346e-02,5.317672690811092728e-02,4.523077234625816345e-02,3.639762848615646362e-02,-2.755671739578247070e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.951902602664101455e-02,2.393638263855983953e-02,6.157779326920736346e-02,5.317672690811092728e-02,6.141328125000000000e+02,5.049315795898437500e+02,7.785023193359375000e+02,5.017748413085937500e+02,8.510058652727909703e+02
1.000000000000000021e-02,-5.445265769958496094e-02,-5.415914580225944519e-02,2.756210088729858398e+00,-9.221885353326797485e-03,-1.776151731610298157e-02,5.383491516113281250e-04,9.389928520085384644e-02,2.076857381019414639e-02,1.000018065529102024e-01,1.144039104753602487e-02,5.445265769958496094e-02,5.415914580225944519e-02,-2.756210088729858398e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.389928520085384644e-02,2.076857381019414639e-02,1.000018065529102024e-01,1.144039104753602487e-02,7.266784057617187500e+02,6.174773559570312500e+02,8.910480957031250000e+02,6.143204345703125000e+02,8.256142458140029703e+02
